object_id,ra,decl,gal_l,gal_b,ddf,hostgal_specz,hostgal_photoz,hostgal_photoz_err,distmod,mwebv,target
730,33.57422,-6.579593,170.45558,-61.548218,1.0,0.232,0.2262,0.0157,40.2561,0.021,42
745,0.189873,-45.586655,328.25446,-68.9693,1.0,0.3037,0.2813,1.1523,40.7951,0.007,90
1124,352.71127,-63.823658,316.9223,-51.059402,1.0,0.1934,0.2415,0.0176,40.4166,0.024,90
1598,347.8467,-64.76086,318.92984,-49.143597,1.0,0.1352,0.182,0.0304,39.7279,0.019,90
1632,348.5959,-63.07262,320.0233,-50.71306,1.0,0.6857,0.7014,0.01,43.1524,0.021,42
1920,149.41406,3.433834,234.91913,42.24555,1.0,0.3088,0.3229,0.336,41.1401,0.027,90
2072,0.965665,-46.37508,325.84592,-68.57943,1.0,0.1516,0.19,0.0104,39.8317,0.007,90
2103,346.5,-62.3204,321.95114,-50.736053,1.0,0.1695,0.5409,0.2283,42.4667,0.02,42
2300,359.44672,-44.20153,331.73,-69.80571,1.0,0.236,2.7474,0.5335,46.7959,0.01,42
2330,359.8052,-46.76848,327.136,-67.8299,1.0,0.4541,0.5736,0.2827,42.6207,0.011,90
3285,150.82031,1.64151,237.9945,42.358986,1.0,0.161,0.1818,0.0079,39.7258,0.02,42
4132,359.8117,-45.191612,329.4857,-69.1509,1.0,0.0561,0.0556,0.0301,36.975,0.01,42
4220,358.64807,-46.37508,329.46265,-67.71601,1.0,0.1197,0.1322,0.3351,38.9679,0.009,42
4389,151.69922,3.583322,236.53322,44.205647,1.0,0.2333,0.2205,0.9667,40.1939,0.016,90
4595,349.6154,-63.636005,318.92725,-50.506542,1.0,0.5919,0.5995,0.0127,42.737,0.018,90
4819,35.33203,-5.979157,172.28673,-59.931744,1.0,0.3053,0.287,0.0076,40.8445,0.022,90
5527,347.86185,-61.943836,321.5191,-51.42405,1.0,0.1315,0.2487,0.8604,40.4896,0.017,42
6180,33.222656,-4.780192,167.51566,-60.396584,1.0,0.3201,0.2685,0.5211,40.6793,0.018,90
6762,348.5959,-63.07262,320.0233,-50.71306,1.0,0.3863,0.3983,0.0132,41.6735,0.021,90
6947,34.277344,-5.67919,170.31493,-60.41032,1.0,0.568,0.5667,0.0181,42.5888,0.02,90
7033,52.20703,-28.29155,224.20853,-55.300156,1.0,0.0826,0.085,0.0073,37.9414,0.007,42
7164,347.86185,-61.943836,321.5191,-51.42405,1.0,0.4299,0.4245,0.0288,41.8371,0.017,90
7698,347.01343,-62.508568,321.47205,-50.73533,1.0,0.2628,0.1876,0.0216,39.8011,0.018,90
8328,1.694561,-45.191612,326.27856,-69.85825,1.0,0.3779,0.4808,0.297,42.1592,0.011,90
8745,349.96622,-62.69666,319.543,-51.376556,1.0,0.6276,0.6136,0.0129,42.7983,0.021,90
